received_at,sequence,millis,gain,integration_time,pwm_percent,pwm_raw,page,415,445,480,515,555,590,630,680,nir,clear
2026-09-14T20:10:15.417400+00:00,124,88977,128x,300ms,25,64,0,0,0,0,0,0,0,0,0,0,1
2026-09-14T20:10:16.130239+00:00,125,89695,128x,300ms,25,64,0,0,0,0,0,1,0,0,0,0,1
2026-09-14T20:10:16.849164+00:00,126,90412,128x,300ms,25,64,1,0,0,0,0,0,0,0,0,0,1
2026-09-14T20:10:17.561510+00:00,127,91128,128x,300ms,25,64,1,0,0,0,0,0,0,0,0,0,2
2026-09-14T20:10:18.280556+00:00,128,91845,128x,300ms,25,64,1,0,0,0,0,0,0,0,0,0,1
2026-09-14T20:10:19.001806+00:00,129,92563,128x,300ms,25,64,1,0,0,0,0,0,0,0,0,0,1
2026-09-14T20:10:19.713473+00:00,130,93280,128x,300ms,25,64,1,0,0,0,0,0,0,0,0,0,1
2026-09-14T20:10:20.433967+00:00,131,93997,128x,300ms,25,64,0,0,0,0,0,0,0,0,0,0,1
2026-09-14T20:10:21.153256+00:00,132,94714,128x,300ms,25,64,0,0,0,0,0,0,0,0,0,0,1
2026-09-14T20:10:21.865404+00:00,133,95431,128x,300ms,25,64,0,0,0,0,0,0,0,0,0,0,1
2026-09-14T20:10:22.586095+00:00,134,96148,128x,300ms,25,64,0,0,0,0,0,0,0,0,0,0,1
2026-09-14T20:10:23.296919+00:00,135,96865,128x,300ms,25,64,0,0,0,0,0,0,0,0,0,0,1
2026-09-14T20:10:24.017370+00:00,136,97582,128x,300ms,25,64,1,0,0,0,0,0,0,0,0,0,2
2026-09-14T20:10:24.729999+00:00,137,98299,128x,300ms,25,64,1,0,0,0,0,1,0,0,0,0,2
2026-09-14T20:10:25.449460+00:00,138,99016,128x,300ms,25,64,1,0,0,0,0,1,0,0,0,0,2
2026-09-14T20:10:26.168769+00:00,139,99734,128x,300ms,25,64,1,0,0,0,0,1,0,0,0,0,2
2026-09-14T20:10:26.881369+00:00,140,100451,128x,300ms,25,64,1,0,0,0,0,0,0,0,0,0,2
2026-09-14T20:10:27.601068+00:00,141,101169,128x,300ms,25,64,0,0,0,0,0,1,0,0,0,0,2
2026-09-14T20:10:28.321539+00:00,142,101885,128x,300ms,25,64,0,0,0,0,0,1,0,0,0,0,2
2026-09-14T20:10:29.033559+00:00,143,102602,128x,300ms,25,64,0,0,0,0,0,1,0,0,0,0,2
2026-09-14T20:10:29.753235+00:00,144,103319,128x,300ms,25,64,0,0,0,0,0,1,0,0,0,0,2
2026-09-14T20:10:30.466061+00:00,145,104036,128x,300ms,25,64,0,0,0,0,0,1,0,0,0,0,2
2026-09-14T20:10:31.185416+00:00,146,104753,128x,300ms,25,64,1,0,0,0,0,1,0,0,0,0,2
2026-09-14T20:10:31.905224+00:00,147,105470,128x,300ms,25,64,1,0,0,0,0,1,0,0,0,0,2
2026-09-14T20:10:32.617311+00:00,148,106187,128x,300ms,25,64,1,0,0,0,0,1,0,0,0,0,2
2026-09-14T20:10:33.338329+00:00,149,106905,128x,300ms,25,64,1,0,0,0,0,1,0,0,0,0,2
2026-09-14T20:10:34.049499+00:00,150,107622,128x,300ms,25,64,1,0,0,0,0,1,0,0,0,0,2
2026-09-14T20:10:34.769952+00:00,151,108340,128x,300ms,25,64,0,0,0,0,0,1,0,0,0,0,2
2026-09-14T20:10:35.488414+00:00,152,109057,128x,300ms,25,64,0,0,0,0,0,0,0,0,0,0,2
2026-09-14T20:10:36.201038+00:00,153,109773,128x,300ms,25,64,0,0,0,0,0,1,0,0,0,0,2
2026-09-14T20:10:36.921837+00:00,154,110490,128x,300ms,25,64,0,0,0,0,0,1,0,0,0,0,2
2026-09-14T20:10:37.633917+00:00,155,111207,128x,300ms,25,64,0,0,0,0,0,1,0,0,0,0,2
2026-09-14T20:10:38.354344+00:00,156,111924,128x,300ms,25,64,1,0,0,0,0,1,0,0,0,0,2
2026-09-14T20:10:39.073352+00:00,157,112642,128x,300ms,25,64,1,0,0,0,0,1,0,0,0,0,2
2026-09-14T20:10:39.785373+00:00,158,113359,128x,300ms,25,64,1,0,0,0,0,1,0,0,0,0,2
2026-09-14T20:10:40.505734+00:00,159,114076,128x,300ms,25,64,1,0,0,0,0,1,0,0,0,0,2
2026-09-14T20:10:41.217183+00:00,160,114794,128x,300ms,25,64,1,0,0,0,0,1,0,0,0,0,2
2026-09-14T20:10:41.937182+00:00,161,115511,128x,300ms,25,64,0,0,0,0,0,1,0,0,0,0,2
2026-09-14T20:10:42.658038+00:00,162,116228,128x,300ms,25,64,0,0,0,0,0,1,0,0,0,0,2
2026-09-14T20:10:43.370049+00:00,163,116944,128x,300ms,25,64,0,0,0,0,0,1,0,0,0,0,2
2026-09-14T20:10:44.089462+00:00,164,117662,128x,300ms,25,64,0,0,0,0,0,1,0,0,0,0,2
2026-09-14T20:10:44.801868+00:00,165,118379,128x,300ms,25,64,0,0,0,0,0,1,0,0,0,0,3
2026-09-14T20:10:45.521463+00:00,166,119096,128x,300ms,25,64,1,0,0,0,0,1,0,0,0,0,2
2026-09-14T20:10:46.242051+00:00,167,119813,128x,300ms,25,64,1,0,0,0,0,1,0,0,0,0,2
2026-09-14T20:10:46.953650+00:00,168,120530,128x,300ms,25,64,1,0,0,0,0,0,0,0,0,0,1
2026-09-14T20:10:47.673243+00:00,169,121247,128x,300ms,25,64,1,0,0,0,0,1,0,0,0,0,1
2026-09-14T20:10:48.392636+00:00,170,121965,128x,300ms,25,64,1,0,0,0,0,0,0,0,0,0,2
2026-09-14T20:10:49.105638+00:00,171,122682,128x,300ms,25,64,0,0,0,0,0,0,0,0,0,0,1
2026-09-14T20:10:49.825530+00:00,172,123400,128x,300ms,25,64,0,0,0,0,0,1,0,0,0,0,2
2026-09-14T20:10:50.537860+00:00,173,124116,128x,300ms,25,64,0,0,0,0,0,1,0,0,0,0,2
2026-09-14T20:10:51.257472+00:00,174,124833,128x,300ms,25,64,0,0,0,0,0,1,0,0,0,0,2
2026-09-14T20:10:51.970069+00:00,175,125550,128x,300ms,25,64,0,0,0,0,0,1,0,0,0,0,2
2026-09-14T20:10:52.690151+00:00,176,126267,128x,300ms,25,64,1,0,0,0,0,1,0,0,0,0,2
2026-09-14T20:10:53.409247+00:00,177,126984,128x,300ms,25,64,1,0,0,0,0,0,0,0,0,0,2
2026-09-14T20:10:54.121322+00:00,178,127702,128x,300ms,25,64,1,0,0,0,0,1,0,0,0,0,1
2026-09-14T20:10:54.841443+00:00,179,128419,128x,300ms,25,64,1,0,0,0,0,1,0,0,0,0,2
2026-09-14T20:10:55.561234+00:00,180,129136,128x,300ms,25,64,1,0,0,0,0,1,0,0,0,0,2
2026-09-14T20:10:56.272948+00:00,181,129854,128x,300ms,25,64,0,0,0,0,0,1,0,0,0,0,2
2026-09-14T20:10:56.992603+00:00,182,130571,128x,300ms,25,64,0,0,0,0,0,1,0,0,0,0,2
2026-09-14T20:10:57.704695+00:00,183,131288,128x,300ms,25,64,0,0,0,0,0,0,0,0,0,0,2
2026-09-14T20:10:58.425391+00:00,184,132004,128x,300ms,25,64,0,0,0,0,0,1,0,0,0,0,2
2026-09-14T20:10:59.145398+00:00,185,132721,128x,300ms,25,64,0,0,0,0,0,0,0,0,0,0,2
2026-09-14T20:10:59.856784+00:00,186,133439,128x,300ms,25,64,1,0,0,0,0,1,0,0,0,0,2
2026-09-14T20:11:00.577349+00:00,187,134156,128x,300ms,25,64,1,0,0,0,0,1,0,0,0,0,2
2026-09-14T20:11:01.289408+00:00,188,134874,128x,300ms,25,64,1,0,0,0,0,1,0,0,0,0,2
2026-09-14T20:11:02.009059+00:00,189,135591,128x,300ms,25,64,1,0,0,0,0,1,0,0,0,0,2
2026-09-14T20:11:02.728072+00:00,190,136308,128x,300ms,25,64,1,0,0,0,0,1,0,0,0,0,2
2026-09-14T20:11:03.440904+00:00,191,137026,128x,300ms,25,64,0,0,0,0,0,1,0,0,0,0,2
2026-09-14T20:11:04.161683+00:00,192,137743,128x,300ms,25,64,0,0,0,0,0,0,0,0,0,0,2
2026-09-14T20:11:04.873364+00:00,193,138460,128x,300ms,25,64,0,0,0,0,0,1,0,0,0,0,2
2026-09-14T20:11:05.592630+00:00,194,139176,128x,300ms,25,64,0,0,0,0,0,0,0,0,0,0,2
2026-09-14T20:11:06.313436+00:00,195,139893,128x,300ms,25,64,0,0,0,0,0,1,0,0,0,0,2
2026-09-14T20:11:07.025389+00:00,196,140610,128x,300ms,25,64,1,0,0,0,0,1,0,0,0,0,2
2026-09-14T20:11:07.745302+00:00,197,141328,128x,300ms,25,64,1,0,0,0,0,1,0,0,0,0,2
2026-09-14T20:11:08.464614+00:00,198,142045,128x,300ms,25,64,1,0,0,0,0,1,0,0,0,0,2
2026-09-14T20:11:09.176967+00:00,199,142763,128x,300ms,25,64,1,0,0,0,0,1,0,0,0,0,1
2026-09-14T20:11:09.897293+00:00,200,143479,128x,300ms,25,64,1,0,0,0,0,1,0,0,0,0,1
2026-09-14T20:11:10.609030+00:00,201,144197,128x,300ms,25,64,0,0,0,0,0,0,0,0,0,0,1
2026-09-14T20:11:11.329447+00:00,202,144914,128x,300ms,25,64,0,0,0,0,0,0,0,0,0,0,0
